Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
8533,,M,California,6.0,2018.0,2018.0,1-4 years,1-4,0.0,1005351.0,,17.6,,1.42,California_1-4 years,NULL_TIMESTAMP,-0.946866473378977,0.2294305995267877,30,1014399.159,,7482,0.0515724535262906,3,async,205.0
8534,M,M,California,6.0,2018.0,,5-14 years,5-14,0.0,2573740.0,,8.76,,0.62,California_5-14 years,NULL_TIMESTAMP,0.2768428353421426,0.6691647824946457,1,2596903.6599999997,,6182,0.2020276122573364,2,async,
8535,M,M,California,6.0,2018.0,,15-24 years,15-24,0.01,2695475.0,79.47,76.1,,1.72,California_15-24 years,1970-01-01 00:00:00.000002018,-0.7603851104094518,-0.1365702289803057,48,2719734.275,,6751,-0.1336311683254705,2,async,2142.0
8536,M,M,California,6.0,,,25-34 years,25-34,0.01,3119282.0,,119.56,127.36,1.99,California_25-34 years,,-1.6409580934188004,-0.0773660015126086,28,,1.0652392104382735,1174,-0.0554417997664913,3,pending,3851.0
8537,M,M,,6.0,2018.0,,35-44 years,35-44,0.01,2652887.0,,177.19,187.47,2.62,California_35-44 years,1970-01-01 00:00:00.000002018,-1.5124333781796708,0.3817533547461116,-40,2676762.9829999995,1.0580168181048593,3215,0.1511063382936306,2,pending,
8538,M,M,California,6.0,2018.0,,,45-54,0.02,2525671.0,,378.65,,3.91,California_45-54 years,1970-01-01 00:00:00.000002018,1.5957589857607877,-0.968190017950933,-6,2548402.039,,5740,0.2198539023451377,3,pending,9757.0
8539,M,M,California,6.0,,2018.0,55-64 years,,0.05,err_757,916.86,904.55,,6.28,California_55-64 years,,-0.8890967256468822,0.1687174271575933,-45,,,5450,-0.1368903154473373,3,async,21312.0
8540,M,M,California,6.0,,2018.0,65-74 years,65-74,0.07,1529076.0,1858.9,1837.29,1880.51,11.03,California_65-74 years,,-0.1360277028926529,-0.2813538881001026,35,,1.023523776867016,6397,-0.0109214612646873,1,async,
8541,M,M,California,6.0,,2018.0,75-84 years,75-84,0.08,718003.0,,4423.35,,24.96,California_75-84 years,,-0.5669074956451904,-0.3996777382693425,2,,,1976,-0.1993971627971668,2,sync,
8542,M,M,California,6.0,2018.0,2018.0,85+ years,,0.09,,,12983.18,13253.69,69.01,California_85+ years,1970-01-01 00:00:00.000002018,1.263644180479533,0.2927097969289642,20,,1.0208354193656717,5318,0.1558680366712835,4,sync,36138.0
8543,M,M,California,6.0,2019.0,2019.0,< 1 year,1,0.0,236641.0,,411.95,,13.61,California_< 1 year,1970-01-01 00:00:00.000002019,-1.4748891346296376,0.081670545865841,-24,238889.0895,,6404,0.0115540504506271,1,sync,1038.0
8544,,,California,98.43281059153604,,,1-4 years,1-4,0.0797377299645494,,-24724.724180793597,24010.110020844342,,488.7131980392563,California_1-4 years,NULL_TIMESTAMP,-0.6520514212305759,0.1050085726647733,44,,,9160,0.2069494034250592,3,pending,
8545,M,M,California,-86.43281059153605,2044.8756739297296,1993.1243260702704,5-14 years,5-14,-0.0797377299645494,5110745.461537355,-24732.454180793597,24003.800020844345,,487.9931980392563,California_5-14 years,1970-01-01 00:00:00.000002044,3.4289699483745095,-0.5367899940746417,-23,5225419.534972252,,4470,0.0929020271983798,2,async,
8546,M,M,California,6.0,,,15-24 years,15-24,0.01,err_751,,78.09,,1.75,California_15-24 years,,1.4414994482124213,0.2791027574139337,-18,,,7244,-0.0523141977456099,1,async,
8547,M,M,California,6.0,,2019.0,25-34 years,25-34,0.01,,133.8,129.75,137.86,2.07,California_25-34 years,,-0.8610729264454625,-0.7344024801098091,22,,1.062504816955684,5246,0.0341501509428137,1,sync,4183.0
8548,M,M,California,6.0,2019.0,,35-44 years,35-44,0.01,2672579.0,191.05,185.81,,2.67,California_35-44 years,1970-01-01 00:00:00.000002019,1.2078904050615589,-0.6117915746638503,41,2697968.5005,,5273,0.0789439387345251,3,sync,5106.0
8549,M,M,California,6.0,,2019.0,45-54 years,45-54,0.02,2480371.0,388.05,380.29,395.8,3.96,California_45-54 years,,-0.2828068075082594,0.8686978678336672,-22,,1.0407846643351126,8127,0.0525912335444745,2,pending,
8550,M,M,California,6.0,,2019.0,55-64 years,55-64,0.05,2331519.0,,895.93,,6.24,California_55-64 years,,0.6315469287012738,-0.1459724434128336,48,,,7230,0.0930406820232321,4,async,
8551,M,M,California,6.0,2019.0,,65-74 years,65-74,0.07,1576735.0,1827.32,1806.22,1848.42,10.77,California_65-74 years,1970-01-01 00:00:00.000002019,-1.015462394447375,0.2456484428220807,-6,1591713.9825000002,1.023363709847084,8398,-0.1124883750586972,3,sync,
8552,M,M,California,6.0,2019.0,,75-84 years,,0.08,745369.0,4391.78,4344.21,,24.27,California_75-84 years,1970-01-01 00:00:00.000002019,-0.103201553379929,-0.1523402960325371,-6,752450.0055000001,,7228,-0.0380424980483965,3,pending,
8553,M,M,California,6.0,,,85+ years,85+,0.09,280289.0,,12846.08,,68.05,California_85+ years,,0.6439847779711306,0.1448429988596492,-42,,,3012,-0.095129525476105,2,sync,36380.0
8554,M,M,California,6.0,2020.0,2020.0,< 1 year,1,0.0,228285.0,401.25,375.27,427.24,13.26,California_< 1 year,1970-01-01 00:00:00.000002020,-0.9698293451905192,-0.4355245883047208,-31,230567.85,1.1384869560583049,8321,0.1122924791897842,2,async,916.0
8555,M,M,California,6.0,2020.0,2020.0,1-4 years,1-4,0.0,952607.0,19.53,16.72,,1.43,California_1-4 years,1970-01-01 00:00:00.000002020,-0.2206033251080654,0.1795499117086902,-23,962133.07,,1672,-0.1178623134972399,4,pending,186.0
8556,M,M,,6.0,2020.0,,5-14 years,5-14,0.0,err_145,,10.9,13.62,0.69,California_5-14 years,1970-01-01 00:00:00.000002020,0.3047376450192994,0.6277967772129963,21,,1.2495412844036695,3540,0.0191985310122905,4,pending,
8557,M,,California,6.0,2020.0,,15-24 years,15-24,0.01,2616386.0,109.5,105.49,113.51,2.05,California_15-24 years,1970-01-01 00:00:00.000002020,0.7724865274240224,0.8079163067911779,-24,2642549.86,1.0760261636174049,4164,0.1551388457746974,1,async,
8558,M,M,California,98.43281059153604,,1994.1243260702704,25-34 years,25-34,-0.0697377299645494,,,24164.770020844346,-25321.844394780455,489.7131980392563,California_25-34 years,,0.422798465513126,0.602634876143567,-44,,-1.0478826975360422,9169,0.0077866486697175,4,pending,-25395.990927079107
8559,M,M,California,6.0,,,35-44 years,,0.02,2690198.0,,255.17,,3.12,California_35-44 years,,0.7280562750709412,-0.0116287464112867,39,,,3708,0.0416841227334646,2,sync,7029.0
8560,M,,California,98.43281059153604,1994.1243260702704,1994.1243260702704,45-54 years,45-54,-0.0497377299645494,-105084.46153735463,25240.714180793595,-23505.650020844347,-24995.304394780454,-482.83319803925633,California_45-54 years,1970-01-01 00:00:00.000001994,-1.9128631488850996,0.8107448291054156,-17,-104775.74052181728,1.0633743109684315,7797,-0.2096602526712326,3,pending,
8561,M,,California,6.0,,2020.0,55-64 years,55-64,0.07,2324437.0,1132.96,1119.28,1146.65,6.98,California_55-64 years,,-2.2060001354680794,0.1721117540284857,9,,1.024453219927096,9272,-0.1032192562161758,3,pending,26335.0
8562,M,M,California,6.0,2020.0,,65-74 years,65-74,0.09,1615277.0,2237.57,2214.5,2260.64,11.77,California_65-74 years,1970-01-01 00:00:00.000002020,-0.0879561326302227,0.6411742395353666,-20,1631429.77,1.0208354030255136,3680,0.02268153372504,1,sync,
8563,M,M,California,6.0,,2020.0,75-84 years,75-84,0.1,err_155,,5011.51,,25.69,California_75-84 years,,1.1917879574502126,-0.4081348503636282,-42,,,9203,0.0856177328023811,2,async,
8564,M,,,6.0,2020.0,2020.0,85+ years,85+,0.1,err_668,14634.09,14493.35,14774.82,71.8,California_85+ years,1970-01-01 00:00:00.000002020,-0.4029648035926577,0.6760477298956197,37,,1.019420630841041,6352,0.0661742003452455,1,sync,41539.0
8565,M,M,Colorado,100.43281059153604,2031.8756739297296,1980.1243260702704,< 1 year,1,0.0797377299645494,-2516478.4615373546,-24120.784180793595,-23455.040020844343,-24795.974394780453,-444.89319803925633,Colorado_< 1 year,NULL_TIMESTAMP,-0.9846997692362488,-0.0320770312137055,4,-2556585.6849829303,1.0571704150896537,3251,0.0809887153977678,2,sync,
8566,M,,Colorado,8.0,2006.0,,,1-4,0.0,136749.0,29.98,21.52,40.67,4.68,Colorado_1-4 years,1970-01-01 00:00:00.000002006,-2.098949505698521,-0.3225392197353172,44,137159.24699999997,1.8898698884758365,8398,0.0881395724348844,2,pending,41.0
8567,,,Colorado,8.0,2006.0,,5-14 years,5-14,0.0,325347.0,16.6,12.47,21.66,2.26,Colorado_5-14 years,1970-01-01 00:00:00.000002006,0.0707231706931546,0.038378925166273,3,326323.04099999997,1.7369687249398555,1905,0.1150171502830525,4,async,54.0
8568,M,M,Colorado,100.43281059153604,1980.1243260702704,,15-24 years,15-24,0.0797377299645494,-2197883.4615373546,-24633.644180793595,-23895.620020844348,-25381.114394780456,-481.77319803925633,Colorado_15-24 years,1970-01-01 00:00:00.000001980,-1.5111553451079216,-0.4469135652913309,31,-2176041.2540288237,1.0621659690202765,9333,-0.0378026729632598,1,pending,
8569,M,M,Colorado,8.0,2006.0,2006.0,25-34 years,25-34,0.0,348105.0,,119.52,,6.15,Colorado_25-34 years,1970-01-01 00:00:00.000002006,-0.7183092808050563,-0.0684067048072907,24,349149.31499999994,,9825,-0.0436242990696859,4,pending,458.0
8570,M,M,Colorado,8.0,2006.0,2006.0,35-44 years,35-44,0.0,,,184.52,213.69,7.44,Colorado_35-44 years,1970-01-01 00:00:00.000002006,-0.5995860880609936,-0.1964357870308668,3,,1.1580858443529156,2969,0.112309203894998,2,async,716.0
8571,M,M,Colorado,8.0,2006.0,,45-54 years,45-54,0.0,357116.0,,408.6,451.62,10.97,Colorado_45-54 years,1970-01-01 00:00:00.000002006,-2.0817808039448935,-0.3065070854496132,38,358187.34799999994,1.1052863436123348,9330,0.0990312418404844,1,sync,1536.0
8572,M,M,Colorado,100.43281059153604,2031.8756739297296,2031.8756739297296,55-64 years,55-64,-0.0697377299645494,-2306601.4615373546,25578.684180793596,24793.510020844347,,-468.8531980392563,Colorado_55-64 years,1970-01-01 00:00:00.000002031,-0.3106483070997732,-0.1996311614941721,32,-2343363.6995742554,,6057,0.0685172992214571,3,async,-28798.990927079107
8573,M,M,Colorado,100.43281059153604,,,65-74 years,65-74,-0.0697377299645494,-2428828.4615373546,,25942.410020844345,,528.0831980392563,Colorado_65-74 years,,1.8905985363970352,-0.5858281381564153,-5,,,1431,-0.1592123051300124,2,sync,33318.99092707911
8574,,M,Colorado,8.0,,,75-84 years,75-84,0.01,67257.0,5620.23,5441.06,5799.4,91.41,Colorado_75-84 years,,2.2438005350758417,0.3938719846661787,32,,1.065858490808776,4609,-0.0443200104748009,4,pending,
8575,M,M,Colorado,8.0,,,85+ years,85+,0.01,18994.0,,15079.32,,286.97,Colorado_85+ years,,1.613910863868714,-0.0609178437555982,-3,,,4251,0.0545739984106782,3,async,2971.0
8576,M,M,Colorado,8.0,2007.0,2007.0,< 1 year,1,0.0,,710.77,622.83,,44.86,Colorado_< 1 year,1970-01-01 00:00:00.000002007,-1.0128710816460835,0.0801470883562835,-49,,,5372,0.0142354271921252,3,async,251.0
8577,,M,Colorado,8.0,2007.0,2007.0,1-4 years,1-4,0.0,err_180,,15.21,31.78,4.02,Colorado_1-4 years,1970-01-01 00:00:00.000002007,1.8764701645004855,0.6528574342931561,12,,2.089414858645628,3972,-0.0511803709167565,4,async,
8578,,M,Colorado,8.0,2007.0,2007.0,5-14 years,,0.0,330333.0,15.44,11.5,20.3,2.16,Colorado_5-14 years,1970-01-01 00:00:00.000002007,-0.3306509745052529,0.0442329069947788,-17,331489.1655,1.7652173913043478,1560,0.0006732956812804,2,pending,51.0
8579,M,M,Colorado,8.0,2007.0,2007.0,15-24 years,15-24,0.0,353987.0,96.05,85.84,106.26,5.21,Colorado_15-24 years,1970-01-01 00:00:00.000002007,-1.0559794877176985,0.1030646993270445,-28,355225.9545,1.2378844361602983,9347,0.0764379404155378,1,async,340.0
8580,M,M,,8.0,2007.0,,25-34 years,25-34,0.0,351942.0,,111.98,,5.93,Colorado_25-34 years,1970-01-01 00:00:00.000002007,-0.4223445427139772,0.4105006549935935,-16,353173.797,,9826,0.1361346745886295,3,async,435.0
8581,M,,Colorado,8.0,,2007.0,,35-44,0.0,err_413,205.93,191.1,,7.56,Colorado_35-44 years,,0.7457183803928281,0.5700400891880731,32,,,8773,-0.0745618048820931,2,async,741.0
8582,M,M,Colorado,100.43281059153604,2032.8756739297296,1981.1243260702704,45-54 years,45-54,-0.0797377299645494,2913727.4615373546,-24290.254180793596,24425.370020844348,25976.514394780457,498.52319803925633,Colorado_45-54 years,1970-01-01 00:00:00.000002032,-0.8083224605736143,-0.4779030420748884,46,2961622.838510155,1.0635054606178893,5007,-0.0337445360158071,4,sync,
8583,M,M,Colorado,8.0,2007.0,,55-64 years,,0.01,258484.0,846.86,811.38,882.34,18.1,Colorado_55-64 years,1970-01-01 00:00:00.000002007,0.1384955996425418,-0.3276151335890768,4,259388.694,1.08745593926397,1117,-0.0362353440698053,1,pending,2189.0
8584,,M,Colorado,8.0,2007.0,2007.0,65-74 years,,0.01,err_539,1960.48,1883.58,,39.23,Colorado_65-74 years,1970-01-01 00:00:00.000002007,-0.7966136824614679,-0.672631609707912,-38,,,3647,0.0914270150561072,1,sync,2497.0
8585,M,M,Colorado,8.0,,,,75-84,0.01,68798.0,,5350.66,5701.99,89.63,Colorado_75-84 years,NULL_TIMESTAMP,1.5541433093930996,-0.5505783259255908,10,,1.065661058635757,8761,0.1643015432532238,4,sync,3802.0
8586,M,,Colorado,8.0,2007.0,2007.0,,85+,0.01,err_256,15678.99,15132.92,16225.07,278.61,Colorado_85+ years,1970-01-01 00:00:00.000002007,0.5170184240991648,0.2767970205860775,-27,,1.072170473378568,4849,-0.0327217810848775,1,sync,
8587,M,M,Colorado,8.0,2008.0,2008.0,< 1 year,,0.0,34722.0,699.84,611.85,,44.9,Colorado_< 1 year,1970-01-01 00:00:00.000002008,-0.5796056334635616,0.5352204042123522,36,34860.888,,4982,-0.1433338492844404,2,sync,
8588,M,M,Colorado,8.0,2008.0,2008.0,1-4 years,1-4,0.0,140802.0,30.54,22.1,,4.66,Colorado_1-4 years,1970-01-01 00:00:00.000002008,-0.8424205686366921,0.6679866982788046,6,141365.208,,8615,-0.1069946129838562,3,pending,43.0
8589,,M,,8.0,2008.0,2008.0,,5-14,0.0,336355.0,,10.78,,2.08,Colorado_5-14 years,1970-01-01 00:00:00.000002008,0.874049571745397,0.4355006927238884,-12,337700.42,,4033,0.0237238471850957,3,pending,49.0
8590,M,M,Colorado,8.0,,2008.0,15-24 years,15-24,0.0,356160.0,,91.97,113.0,5.36,Colorado_15-24 years,,0.5707708171928987,0.4973838193649737,47,,1.2286615200608897,7881,0.0202925419719872,3,pending,365.0
8591,M,M,Colorado,8.0,,2008.0,25-34 years,25-34,0.0,360241.0,125.47,113.9,,5.9,Colorado_25-34 years,NULL_TIMESTAMP,-0.6435573033862504,0.7388722505089887,-32,,,9274,-0.033507744783625,3,sync,452.0
8592,,M,Colorado,8.0,2008.0,2008.0,35-44 years,,0.0,358974.0,,181.09,210.02,7.38,Colorado_35-44 years,1970-01-01 00:00:00.000002008,-0.7698221142074176,1.4638886991800053,4,360409.896,1.1597548180462751,4390,0.041076133841336,3,pending,
8593,M,M,Colorado,8.0,,2008.0,,45-54,0.0,,,420.75,463.81,10.99,Colorado_45-54 years,,-2.16406499098602,0.1382377594951461,-2,,1.102341057635175,9457,-0.0891898017573181,3,sync,1621.0
8594,,M,Colorado,8.0,,,55-64 years,55-64,0.01,270978.0,,831.8,901.92,17.89,Colorado_55-64 years,,0.0990011169846439,0.2586328646252884,-25,,1.084299110363068,1907,-0.1354516421058965,4,pending,2349.0
8595,M,M,Colorado,8.0,2008.0,2008.0,65-74 years,65-74,0.01,134509.0,2065.29,1988.49,,39.18,Colorado_65-74 years,1970-01-01 00:00:00.000002008,0.3846648044150635,-0.4359258215856003,16,135047.036,,9093,0.0686009220891279,3,async,2778.0
8596,M,M,Colorado,8.0,2008.0,2008.0,75-84 years,75-84,0.01,70276.0,,5378.18,5726.61,88.89,Colorado_75-84 years,1970-01-01 00:00:00.000002008,-0.8639281598855207,-0.8216168732169007,-7,70557.104,1.064785856925577,8529,0.1085637099753508,3,async,
8597,M,M,Colorado,8.0,2008.0,,85+ years,85+,0.01,err_691,15619.68,15086.91,16152.45,271.82,Colorado_85+ years,1970-01-01 00:00:00.000002008,-0.6450806689055364,0.1205568278073864,39,,1.0706267883880796,3396,0.0625881096936461,3,sync,3302.0
8598,M,M,Colorado,8.0,2009.0,,< 1 year,1,0.0,err_857,744.19,652.67,835.71,46.69,Colorado_< 1 year,1970-01-01 00:00:00.000002009,1.4687025528819464,0.7010769990571638,34,,1.2804480058835248,5331,-0.1261983207557055,4,sync,254.0
8599,M,M,,8.0,2009.0,2009.0,1-4 years,1-4,0.0,err_12,,14.22,30.08,3.85,Colorado_1-4 years,1970-01-01 00:00:00.000002009,-0.0520891571671291,-0.0838821322918727,7,,2.1153305203938113,6020,0.1231577050603112,4,async,
8600,M,M,,8.0,,2009.0,5-14 years,5-14,0.0,343357.0,17.77,13.59,22.82,2.27,Colorado_5-14 years,,0.0930318455427179,0.6768335486260437,5,,1.6791758646063282,2129,0.0762903064544342,3,async,
8601,M,M,Colorado,8.0,2009.0,,15-24 years,15-24,0.0,,101.14,90.71,111.57,5.32,Colorado_15-24 years,1970-01-01 00:00:00.000002009,-1.2315560635941862,0.5706011475329577,-26,,1.2299636203285194,7979,-0.0781178218498062,1,sync,361.0
8602,M,M,Colorado,8.0,2009.0,,25-34 years,25-34,0.0,367050.0,,114.13,,5.85,Colorado_25-34 years,1970-01-01 00:00:00.000002009,-0.7164664153047244,-0.1677188831237158,-9,368701.725,,9471,-0.1508223333968205,2,pending,
8603,M,,,8.0,2009.0,,,35-44,0.0,357973.0,,186.71,216.11,7.5,Colorado_35-44 years,1970-01-01 00:00:00.000002009,0.3154678907368095,-0.3022238552180148,-37,359583.8785,1.1574634459857531,7434,-0.0541542772573687,2,sync,721.0
8604,M,,Colorado,8.0,,,45-54 years,45-54,0.0,369312.0,,414.39,456.96,10.86,Colorado_45-54 years,,0.6786882089396762,0.6173161993728442,17,,1.1027293129660465,4899,0.0720427512199768,1,sync,1609.0
8605,M,M,,8.0,2009.0,2009.0,55-64 years,55-64,0.01,err_289,850.17,816.27,884.06,17.29,Colorado_55-64 years,1970-01-01 00:00:00.000002009,0.45672008135169,0.0420019078188481,15,,1.0830485011087017,1834,0.0070964595895067,1,pending,
8606,,M,Colorado,8.0,2009.0,,65-74 years,65-74,0.01,,,1871.03,,36.99,Colorado_65-74 years,1970-01-01 00:00:00.000002009,-0.7593327652124905,0.4190091685208076,10,,,8598,0.0589789377729651,4,pending,
8607,M,M,Colorado,-84.43281059153605,2034.8756739297296,2034.8756739297296,75-84 years,75-84,-0.0697377299645494,-2479435.4615373546,-19492.064180793597,-18910.990020844347,,572.9931980392563,Colorado_75-84 years,1970-01-01 00:00:00.000002034,0.4175193126559362,-0.3415457708267258,-9,-2522671.452880547,,3571,-0.1548748320334421,2,pending,
8608,M,,Colorado,8.0,2009.0,,85+ years,85+,0.01,22456.0,14806.73,14303.44,15310.02,256.78,Colorado_85+ years,1970-01-01 00:00:00.000002009,-0.772166363185031,1.2766311195419948,33,22557.052,1.0703732808331423,7478,0.0854856695839371,3,async,3325.0
8609,M,M,Colorado,8.0,2010.0,2010.0,< 1 year,,0.0,,601.4,519.07,,42.0,Colorado_< 1 year,1970-01-01 00:00:00.000002010,-0.6042263045597682,0.0648320586231591,27,,,6417,-0.2057904916467441,2,pending,205.0
8610,M,M,Colorado,8.0,2010.0,,1-4 years,1-4,0.0,142274.0,39.36,29.73,51.11,5.26,Colorado_1-4 years,1970-01-01 00:00:00.000002010,0.31411661402576,0.3698035574037277,11,142985.37,1.719138916918937,4289,-0.1034048862969594,1,pending,
8611,M,M,Colorado,8.0,,,5-14 years,5-14,0.0,347974.0,,8.21,15.65,1.82,Colorado_5-14 years,,0.7967815212389877,0.8009799422422605,36,,1.9062119366626065,3842,0.0978184636873771,2,async,40.0
8612,,,Colorado,8.0,2010.0,2010.0,15-24 years,15-24,0.0,357495.0,,83.67,103.74,5.12,Colorado_15-24 years,1970-01-01 00:00:00.000002010,2.0870004304677576,-0.2373240666843783,-48,359282.475,1.239870921477232,7454,-0.043466114077102,4,async,335.0
8613,M,M,Colorado,100.43281059153604,2035.8756739297296,2035.8756739297296,25-34 years,25-34,0.0797377299645494,err_712,,-23880.030020844348,,493.14319803925633,Colorado_25-34 years,1970-01-01 00:00:00.000002035,2.674137334784136,0.0920387624405222,11,,,4080,-0.0240504469416792,2,sync,
8614,M,M,Colorado,8.0,,,35-44 years,35-44,0.0,,184.58,170.51,,7.18,Colorado_35-44 years,,-0.45627245543575,-0.4440199234594374,27,,,7163,-0.1882117914568877,4,async,
8615,M,M,Colorado,8.0,2010.0,2010.0,,45-54,0.0,369391.0,403.1,382.62,423.57,10.45,Colorado_45-54 years,1970-01-01 00:00:00.000002010,1.4596596413206329,-0.1771559658820252,-5,371237.955,1.107025246981339,5887,0.1024026111524591,2,async,
8616,M,M,Colorado,8.0,2010.0,2010.0,55-64 years,55-64,0.01,err_275,853.29,819.91,886.67,17.03,Colorado_55-64 years,1970-01-01 00:00:00.000002010,0.6454861709898452,-0.2101200033465441,-45,,1.0814235708797306,2152,-0.0528436141741542,1,sync,2510.0
8617,M,M,Colorado,100.43281059153604,,,,65-74,-0.0697377299645494,,,25750.350020844347,27395.564394780453,-452.1731980392563,Colorado_65-74 years,,-1.2994813126956597,0.5194674498530333,18,,1.0638909518746091,1268,0.0409233858085754,4,sync,
8618,M,M,,8.0,,2010.0,,75-84,0.01,73229.0,,5126.35,5459.62,85.02,Colorado_75-84 years,NULL_TIMESTAMP,-0.0837630890907382,0.2848046205803008,5,,1.065011167789948,2873,-0.1046704702572016,2,sync,3876.0
8619,M,M,Colorado,8.0,2010.0,2010.0,85+ years,85+,0.01,23118.0,15226.23,14723.22,15729.24,256.64,Colorado_85+ years,1970-01-01 00:00:00.000002010,1.0949761825575917,-0.3244773161060376,-40,23233.589999999997,1.0683288030743274,1664,0.1508933748859971,4,async,3520.0
8620,M,M,Colorado,8.0,,,< 1 year,1,0.0,34121.0,621.32,537.68,,42.67,Colorado_< 1 year,,0.0920472833624546,-0.5267992843426705,-2,,,5418,-0.0141328631417408,2,async,212.0
8621,M,M,Colorado,8.0,,2011.0,1-4 years,1-4,0.0,141342.0,,16.07,32.79,4.06,Colorado_1-4 years,,1.0602864967694643,0.7857966220756049,-42,,2.0404480398257623,5698,0.0721715187584065,4,async,33.0
8622,M,,Colorado,-84.43281059153605,1985.1243260702704,1985.1243260702704,,5-14,-0.0797377299645494,2902919.4615373546,-24729.594180793596,-23984.230020844345,,-485.3731980392563,Colorado_5-14 years,NULL_TIMESTAMP,-0.1231423278503747,0.4815652352939873,43,2881328.019860307,,3983,-0.0720226908188594,1,pending,
8623,,,Colorado,8.0,2011.0,,15-24 years,15-24,0.0,,,81.4,,5.01,Colorado_15-24 years,1970-01-01 00:00:00.000002011,-0.3866070860537183,0.3643053412252908,24,,,5626,-0.0411143203223039,2,pending,332.0
8624,,M,Colorado,8.0,2011.0,2011.0,25-34 years,,0.0,384780.0,,113.34,135.64,5.69,Colorado_25-34 years,1970-01-01 00:00:00.000002011,-0.5587670160032003,-0.1740558470701233,11,386896.29,1.1967531321686955,7715,-0.0452935334249747,4,sync,
8625,M,M,Colorado,8.0,2011.0,,35-44 years,,0.0,359634.0,193.53,179.15,207.91,7.34,Colorado_35-44 years,1970-01-01 00:00:00.000002011,-1.4312124388526055,0.3562385039368988,6,361611.987,1.1605358638012837,5388,-0.0208948336936064,3,pending,
8626,M,M,Colorado,8.0,,,45-54 years,45-54,0.0,365455.0,435.07,413.69,456.46,10.91,Colorado_45-54 years,,1.759263477661046,0.2147178133366271,19,,1.103386593826295,6515,0.0744928635256833,4,async,1590.0
8627,M,M,,100.43281059153604,,,55-64 years,55-64,-0.0697377299645494,-2242109.4615373546,,24854.740020844347,26428.754394780455,-470.33319803925633,Colorado_55-64 years,,-1.191263831469702,-0.6104325727017567,12,,1.0633285390479268,3724,0.0632280909884641,3,pending,33601.99092707911
8628,M,,Colorado,8.0,,,,65-74,0.01,156462.0,1795.96,1729.56,,33.88,Colorado_65-74 years,,1.3926684818514077,-0.3048600571657017,40,,,9121,0.0288364560182645,2,pending,2810.0
8629,M,M,,8.0,2011.0,,75-84 years,75-84,0.01,75790.0,5070.59,4910.27,,81.79,Colorado_75-84 years,1970-01-01 00:00:00.000002011,0.8239376176171328,0.0997793113401412,0,76206.845,,3966,0.0777602228262779,4,async,3843.0
8630,M,M,Colorado,8.0,2011.0,,85+ years,85+,0.01,err_522,15007.66,14525.45,15489.88,246.03,Colorado_85+ years,1970-01-01 00:00:00.000002011,0.1337995301598336,-0.3335103909626339,8,,1.0663958775803846,5194,0.0641233949418317,4,async,3721.0
8631,M,M,Colorado,8.0,2012.0,2012.0,< 1 year,1,0.0,33920.0,521.82,444.94,,39.22,Colorado_< 1 year,1970-01-01 00:00:00.000002012,1.0369767629713584,0.0760088841510246,28,34123.52,,3396,0.0257890183120842,2,sync,
8632,M,M,,8.0,,,1-4 years,1-4,0.0,err_756,,22.31,41.53,4.7,Colorado_1-4 years,,0.4097675530153388,-0.0748921268768259,-30,,1.8614970865082925,9667,-0.1066922482518476,1,pending,43.0
8633,M,M,,8.0,,2012.0,,5-14,0.0,355510.0,,9.96,17.9,1.95,Colorado_5-14 years,,-0.2158394218861323,-0.0994588607548774,0,,1.79718875502008,3446,0.0510985789924871,2,async,48.0
8634,M,M,Colorado,8.0,,2012.0,15-24 years,15-24,0.0,366362.0,90.89,81.13,100.66,4.98,Colorado_15-24 years,,-0.3252681811367864,-0.1530879628636638,-30,,1.2407247627264884,2147,-0.0519184616973746,3,pending,333.0
8635,M,M,Colorado,8.0,2012.0,2012.0,25-34 years,25-34,0.0,393864.0,134.06,122.62,145.49,5.83,Colorado_25-34 years,1970-01-01 00:00:00.000002012,1.149308486006596,0.6411281950020096,-36,396227.184,1.1865111727287556,8440,0.0900371516138692,1,sync,528.0
8636,M,,Colorado,8.0,2012.0,2012.0,35-44 years,35-44,0.0,362874.0,,179.94,208.62,7.32,Colorado_35-44 years,1970-01-01 00:00:00.000002012,-1.5178875152917106,-0.8012728511191015,-25,365051.244,1.1593864621540515,6758,-0.0120144688357089,1,pending,705.0
8637,M,M,Colorado,100.43281059153604,1986.1243260702704,1986.1243260702704,45-54 years,45-54,-0.0797377299645494,-2189774.4615373546,25160.684180793596,24390.670020844347,-25063.114394780456,498.0931980392563,Colorado_45-54 years,NULL_TIMESTAMP,-2.115177763148794,-0.1652416701605285,32,-2174582.163333384,-1.027569737664502,5140,-0.004942863686457,4,sync,
8638,M,M,Colorado,8.0,2012.0,,,55-64,0.01,315006.0,888.55,855.64,921.47,16.8,Colorado_55-64 years,1970-01-01 00:00:00.000002012,0.6529704445689116,-0.3054435848177985,7,316896.036,1.0769365621055584,8445,0.0375134385169652,1,pending,
